127.0.0.1 - - [27/Nov/2022:13:10:39 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [27/Nov/2022:13:10:41 +0900] "GET /Day1/1_variable.jsp HTTP/1.1" 200 522
0:0:0:0:0:0:0:1 - - [27/Nov/2022:13:10:41 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [27/Nov/2022:13:13:51 +0900] "GET /Day1/2_get.jsp HTTP/1.1" 200 578
0:0:0:0:0:0:0:1 - - [27/Nov/2022:13:14:07 +0900] "GET /Day1/2_get_ok.jsp?userid=banana&userpw=2222 HTTP/1.1" 200 214
0:0:0:0:0:0:0:1 - - [27/Nov/2022:16:54:23 +0900] "GET /Day1/2_get.jsp HTTP/1.1" 200 622
0:0:0:0:0:0:0:1 - - [27/Nov/2022:16:54:36 +0900] "GET /Day1/2_get_ok.jsp?userid=banana&userpw=2222 HTTP/1.1" 200 295
0:0:0:0:0:0:0:1 - - [27/Nov/2022:16:55:20 +0900] "GET /Day1/3_post.jsp HTTP/1.1" 200 390
0:0:0:0:0:0:0:1 - - [27/Nov/2022:16:55:33 +0900] "POST /Day1/3_post_ok.jsp HTTP/1.1" 200 210
0:0:0:0:0:0:0:1 - - [27/Nov/2022:17:25:12 +0900] "GET /Day1/4_member.jsp HTTP/1.1" 200 5638
0:0:0:0:0:0:0:1 - - [27/Nov/2022:17:25:12 +0900] "GET /Day1/js/regist.js HTTP/1.1" 404 832
0:0:0:0:0:0:0:1 - - [27/Nov/2022:17:25:18 +0900] "POST /Day1/4_member_ok.jsp HTTP/1.1" 500 2475
0:0:0:0:0:0:0:1 - - [27/Nov/2022:17:26:15 +0900] "GET /Day1/4_member.jsp HTTP/1.1" 200 5635
0:0:0:0:0:0:0:1 - - [27/Nov/2022:17:26:15 +0900] "GET /Day1/js/regist.js HTTP/1.1" 404 832
0:0:0:0:0:0:0:1 - - [27/Nov/2022:17:26:17 +0900] "POST /Day1/4_member_ok.jsp HTTP/1.1" 500 2475
0:0:0:0:0:0:0:1 - - [27/Nov/2022:17:27:40 +0900] "GET /Day1/4_member.jsp HTTP/1.1" 200 5635
0:0:0:0:0:0:0:1 - - [27/Nov/2022:17:27:41 +0900] "GET /Day1/js/regist.js HTTP/1.1" 404 832
0:0:0:0:0:0:0:1 - - [27/Nov/2022:17:27:41 +0900] "GET /Day1/4_member.jsp HTTP/1.1" 200 5635
0:0:0:0:0:0:0:1 - - [27/Nov/2022:17:27:41 +0900] "GET /Day1/js/regist.js HTTP/1.1" 404 832
0:0:0:0:0:0:0:1 - - [27/Nov/2022:17:28:14 +0900] "GET /Day1/4_member.jsp HTTP/1.1" 200 5636
0:0:0:0:0:0:0:1 - - [27/Nov/2022:17:28:14 +0900] "GET /Day1/js/regist.js HTTP/1.1" 404 832
0:0:0:0:0:0:0:1 - - [27/Nov/2022:17:28:43 +0900] "GET /Day1/4_member.jsp HTTP/1.1" 200 5634
0:0:0:0:0:0:0:1 - - [27/Nov/2022:17:28:43 +0900] "GET /Day1/js/regist.js HTTP/1.1" 404 832
0:0:0:0:0:0:0:1 - - [27/Nov/2022:17:28:50 +0900] "POST /Day1/4_member_ok.jsp HTTP/1.1" 500 2485
